sport,endurance,strength,power,speed,agility,flexibility,nerve,durability,hand_eye_coordination,analytical_aptitude,total_score,rank,category,physicality_score,finesse_score,mental_score,total_athletic_index
Fencing,4.63,3.75,4.25,5.13,6.13,5.63,4.88,4.25,7.25,6.88,52.75,24,Combat & Contact,4.61,6.69,5.88,5.73
Rugby,6.75,7.0,6.38,5.88,6.0,4.13,6.5,7.88,4.38,5.63,60.5,13,Combat & Contact,6.34,5.19,6.06,5.86
Boxing,8.63,8.13,8.63,6.38,6.25,4.38,8.88,8.5,7.0,5.63,72.375,1,Combat & Contact,7.44,6.63,7.26,7.11
Martial Arts,5.0,5.88,7.75,6.38,6.0,7.0,6.63,5.88,6.0,6.88,63.375,6,Combat & Contact,6.32,6.0,6.75,6.36
Football,5.38,8.63,8.13,7.13,6.38,4.38,7.25,8.5,5.5,7.13,68.375,3,Combat & Contact,7.03,5.94,7.19,6.72
Wrestling,6.63,8.38,7.13,5.13,6.38,7.5,5.0,6.75,4.25,6.38,63.5,5,Combat & Contact,6.92,5.31,5.69,5.97
Bowling,2.25,2.75,3.38,1.0,1.88,2.38,1.63,1.25,4.75,4.13,25.375,57,Precision & Racket,2.17,3.31,2.88,2.79
Badminton,5.25,3.25,4.0,5.63,7.38,5.25,1.25,2.63,7.25,6.13,48.0,30,Precision & Racket,4.33,7.31,3.69,5.11
Archery,2.88,4.5,3.13,1.13,1.63,2.63,2.75,2.13,6.63,3.25,30.625,55,Precision & Racket,2.73,4.13,3.0,3.29
Shooting,2.25,2.5,1.38,0.88,1.13,1.75,2.38,1.88,6.75,4.0,24.875,58,Precision & Racket,1.77,3.94,3.19,2.97
Billiards,1.0,1.0,1.75,0.75,1.0,2.63,1.63,0.75,5.25,5.75,21.5,59,Precision & Racket,1.31,3.13,3.69,2.71
Racquetball/Squash,6.13,3.75,5.0,5.5,7.25,5.88,2.38,2.88,8.38,6.5,53.625,22,Precision & Racket,4.86,7.82,4.44,5.71
Tennis,7.25,5.13,7.13,6.75,7.75,5.63,3.0,5.0,8.38,6.75,62.75,7,Precision & Racket,6.15,8.07,4.88,6.37
Curling,2.25,2.63,2.5,1.5,2.25,2.63,1.75,1.5,4.88,5.63,27.5,56,Precision & Racket,2.17,3.56,3.69,3.14
Golf,3.25,3.88,6.13,1.63,1.75,4.0,2.5,2.38,6.0,6.38,37.875,51,Precision & Racket,3.54,3.88,4.44,3.95
Table Tennis,3.5,2.5,4.63,4.13,5.88,4.25,1.38,1.88,8.88,6.0,43.0,47,Precision & Racket,3.48,7.38,3.69,4.85
Horse Racing,4.0,3.88,2.88,1.38,2.88,3.75,8.0,4.5,3.88,6.5,41.625,50,Racing & Extreme,3.4,3.38,7.25,4.68
Auto Racing,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8.0,7.5,47.875,32,Racing & Extreme,3.29,5.38,8.69,5.79
Skateboarding,4.13,3.75,3.75,4.13,6.13,5.13,6.5,5.25,4.88,3.13,46.75,37,Racing & Extreme,4.36,5.5,4.81,4.89
Cycling: Sprints,4.25,6.13,7.88,7.5,4.0,2.88,4.75,4.5,3.63,4.5,50.0,27,Racing & Extreme,5.52,3.81,4.63,4.65
Cycling: Distance,9.63,6.38,6.25,5.13,3.75,2.63,5.88,6.88,3.0,4.88,54.375,20,Racing & Extreme,6.15,3.38,5.38,4.97
Rodeo: Calf Roping,3.13,5.38,5.0,4.25,5.63,3.88,4.88,3.75,6.38,3.75,46.0,40,Rodeo & Outdoor,4.23,6.0,4.31,4.85
Equestrian,3.38,3.25,1.75,1.25,2.5,2.88,6.0,2.75,2.88,5.13,31.75,54,Rodeo & Outdoor,2.54,2.69,5.56,3.6
Rodeo: Steer Wrestling,4.0,7.0,7.88,3.88,4.88,5.0,7.88,6.88,5.13,4.0,56.5,15,Rodeo & Outdoor,5.77,5.0,5.94,5.57
Rodeo: Bull/Bareback/Bronc Riding,3.25,5.38,4.0,1.75,3.63,4.25,9.5,7.38,3.63,3.13,45.875,42,Rodeo & Outdoor,4.33,3.63,6.31,4.76
Fishing,1.38,1.63,1.25,0.63,1.5,1.13,0.88,0.88,2.38,2.88,14.5,60,Rodeo & Outdoor,1.15,1.94,1.88,1.66
Team Handball,4.88,3.88,5.38,5.5,6.0,4.5,3.0,3.88,7.88,5.88,50.75,26,Team Ball,4.67,6.94,4.44,5.35
Volleyball,5.13,4.88,6.63,5.0,7.0,5.13,2.88,4.63,7.25,5.88,54.375,20,Team Ball,5.23,7.13,4.38,5.58
Field Hockey,6.75,4.5,5.38,6.0,5.75,4.63,3.75,5.0,6.63,6.5,54.875,17,Team Ball,5.38,6.19,5.13,5.57
Water Polo,7.88,6.63,6.88,5.38,6.38,5.0,4.25,6.38,6.25,5.63,60.625,11,Team Ball,6.36,6.31,4.94,5.87
Lacrosse,6.63,5.13,5.75,7.0,6.63,4.75,4.38,6.13,7.13,6.88,60.375,14,Team Ball,5.9,6.88,5.63,6.14
Soccer,7.75,4.5,5.13,7.25,8.25,4.75,3.63,6.25,6.5,7.5,61.5,10,Team Ball,5.94,7.38,5.56,6.29
Ice Hockey,7.25,7.13,7.88,7.75,7.63,4.88,6.0,8.25,7.5,7.5,71.75,2,Team Ball,7.19,7.56,6.75,7.17
Basketball,7.38,6.25,6.5,7.25,8.13,5.63,4.13,7.75,7.5,7.38,67.875,4,Team Ball,6.79,7.82,5.75,6.79
Baseball/Softball,4.63,5.75,7.63,6.5,6.75,4.75,5.13,5.63,9.25,6.25,62.25,9,Team Ball,5.82,8.0,5.69,6.5
Weight-Lifting,4.13,9.25,9.75,2.63,2.5,3.38,4.0,4.75,2.25,2.38,45.0,44,Technical & Strength,5.65,2.38,3.19,3.74
Gymnastics,5.38,6.13,6.63,5.0,6.38,10.0,7.5,6.88,4.5,4.13,62.5,8,Technical & Strength,6.67,5.44,5.81,5.97
Cheerleading,3.63,3.63,3.38,2.25,4.13,7.5,3.63,3.38,2.5,2.25,36.25,52,Technical & Strength,3.96,3.31,2.94,3.4
Track and Field: Weights,3.25,7.88,9.13,3.0,3.13,3.0,2.25,3.63,4.0,2.88,42.125,48,Track & Field,4.98,3.56,2.56,3.7
Track and Field: Distance,9.63,5.25,3.75,6.0,3.25,4.38,2.0,5.75,1.88,4.13,46.0,40,Track & Field,5.79,2.56,3.06,3.8
Track and Field: Pole Vault,3.38,6.88,7.25,6.13,5.38,7.0,6.63,4.25,5.25,3.75,55.875,16,Track & Field,5.82,5.31,5.19,5.44
"Track and Field: Long, Triple jumps",4.0,5.63,7.13,6.75,5.0,5.75,2.75,3.25,4.0,3.13,47.375,34,Track & Field,5.42,4.5,2.94,4.29
Track and Field: Sprints,3.5,5.13,7.25,9.88,4.63,5.13,2.0,4.13,2.63,2.38,46.625,38,Track & Field,5.84,3.63,2.19,3.89
Track and Field: Middle Distance,6.0,5.13,5.13,7.75,4.0,4.88,2.0,4.75,2.13,3.75,45.5,43,Track & Field,5.61,3.06,2.88,3.85
Track and Field: High Jump,3.0,6.0,7.0,6.13,5.63,6.63,3.5,3.5,3.5,2.88,47.75,33,Track & Field,5.38,4.56,3.19,4.38
Rowing,8.13,7.75,7.13,4.0,2.5,4.0,1.75,4.38,2.88,3.63,46.125,39,Water Sports,5.9,2.69,2.69,3.76
Canoe/Kayak,6.75,5.25,5.63,3.5,2.75,3.88,3.63,3.25,3.13,4.25,42.0,49,Water Sports,4.71,2.94,3.94,3.86
Water Skiing,4.63,5.0,4.5,3.0,4.25,4.75,5.88,4.63,4.13,3.25,44.0,46,Water Sports,4.42,4.19,4.56,4.39
Swimming (all strokes): Distance,9.25,5.25,4.63,5.5,3.63,5.5,2.63,4.63,2.88,3.0,46.875,36,Water Sports,5.79,3.25,2.81,3.95
Swimming (all strokes): Sprints,4.13,5.25,6.25,7.88,3.63,5.5,2.5,3.25,2.75,3.0,44.125,45,Water Sports,5.38,3.19,2.75,3.77
Diving,2.88,5.13,4.63,3.0,3.5,8.5,8.38,5.0,3.0,3.0,47.0,35,Water Sports,4.86,3.25,5.69,4.6
Surfing,4.63,5.0,4.13,4.25,6.63,5.5,8.25,5.5,4.38,4.88,53.125,23,Water Sports,4.83,5.5,6.56,5.63
Skiing: Freestyle,4.13,5.13,4.88,5.13,6.63,6.88,6.63,5.13,4.13,3.88,52.5,25,Winter & Skating,5.21,5.38,5.25,5.28
Bobsledding/Luge,3.5,5.5,6.5,6.75,4.13,3.25,7.75,3.5,4.13,4.25,49.25,28,Winter & Skating,4.83,4.13,6.0,4.99
Ski Jumping,3.5,4.5,5.75,4.63,4.0,5.0,9.0,4.63,4.38,3.5,48.875,29,Winter & Skating,4.67,4.19,6.25,5.04
Speed Skating,7.63,7.25,7.38,8.88,4.0,4.25,4.5,4.63,2.88,3.5,54.875,17,Winter & Skating,6.67,3.44,4.0,4.7
Roller Skating,4.75,3.38,4.0,5.13,4.0,3.5,2.63,3.38,2.88,2.63,36.25,52,Winter & Skating,4.02,3.44,2.63,3.36
Skiing: Alpine,5.13,5.25,6.0,7.38,6.13,5.63,8.38,6.0,5.13,5.63,60.625,11,Winter & Skating,5.9,5.63,7.01,6.18
Skiing: Nordic,9.0,5.75,4.38,5.13,4.0,4.0,2.75,5.5,3.63,3.88,48.0,30,Winter & Skating,5.63,3.81,3.31,4.25
Figure Skating,6.38,5.25,6.63,5.13,6.88,8.25,4.88,4.0,3.13,4.25,54.75,19,Winter & Skating,5.94,5.0,4.56,5.17
